"E2","T1","T2","M","LogFC"
6.5,7.5,8.9,25.9,-1.22171834681341
25.5,16,9.8,0,Inf
0.3,0.5,1.3,80.4,-4.74368912012365
0.9,3.3,1.3,17.2,-2.23877358024909
3.5,5.2,5.3,40.2,-2.15342195467783
0.6,1.9,0.9,17.2,-2.7197462408654
0,3.3,0.9,22.1,-2.75910537190249
12,6.1,11.6,22.1,-0.803042851383163
0.3,2.4,1.3,19.1,-2.6620062626008
2.1,3.8,1.3,27.8,-2.44956728334269
20.3,18.9,15.2,0.1,5.20033695818783
54.3,27.8,29.4,0.1,5.91799739522611
12.6,19.8,14.3,2.9,1.68042113901431
0.9,0.5,0,52.7,-4.72675550759421
14.1,15.6,8.9,0.1,4.85722508079672
1.8,3.3,0.4,13.4,-1.98911890338655
6.2,5.7,10.7,23.9,-1.15454084132733
2.9,5.2,5.8,22,-1.55776590188978
0.9,7.1,7.1,21.1,-1.43319058532925
0.9,0.5,1.8,24.9,-3.15032928233309
0.9,1.9,1.8,9.6,-1.83431908364685
7.9,8,13.8,0.1,4.59511985013459
2.9,3.8,1.8,16.3,-1.74971123298456
8.8,13.2,12.9,1.9,1.81202065436788
9.4,7.5,8,0,Inf
5.3,8,4,21.1,-1.2971788276464
0.6,3.3,2.2,15.3,-2.01817634588723
22.3,30.2,10.3,0.1,5.34392787780009
0.6,0,0.4,133.1,-5.98971301406918
4.1,4.2,8.5,22.1,-1.3728110107826
7.9,8.1,11.1,0,Inf
4.4,1.9,1.8,13.4,-1.60200293394658
66.4,81.1,76.7,22.1,1.21834861344624
13.8,14.6,20.9,0.1,5.10189688537458
9.1,4.2,10.3,22.1,-1.03294318516025
25.8,10.8,15.6,1.9,2.21461632004809
0.3,6.1,0.9,22,-2.20178039387208
95.2,98,74.9,11.5,2.0504007212046
12,18.9,27.2,0,Inf
5.6,8.1,5.3,0,Inf
24.1,14.1,13.4,3.8,1.50990831708707
8.5,7.1,4.9,22,-1.16922985588206
5.6,11.3,5.3,0,Inf
27.9,16.1,41,6.7,1.44193144142529
12,12.7,25.9,0.1,5.12792438061936
43.2,19.8,21.4,6.7,1.43484758653688
16.2,13.7,10.3,2.9,1.53054396996444
0.9,8.5,0.9,19.1,-1.7161567284851
11.5,16.1,8.9,0.1,4.80128506491438
15.9,28.3,10.7,0,Inf
6.8,18.9,13.4,0,Inf
36.4,43.4,61.5,22.1,0.756695392498665
8.8,3.8,3.1,21.1,-1.39422461679587
75.8,80.1,64.6,5.7,2.55681923137829
2.6,1.4,2.2,22.1,-2.36964060514077
20.6,38.6,17.4,0.1,5.54256988107248
30.8,16.1,15.6,0,Inf
12.3,4.2,9.4,24.9,-1.05923712343328
7.3,6.6,5.3,0,Inf
14.1,8,9.4,0.1,4.65396035015752
12.6,16,15.2,2.9,1.61631079172186
10.9,2.8,1.8,27.8,-1.6828082854395
18.2,17.9,5.8,0,Inf
29.1,18.9,31.2,52.7,-0.691251445395046
10.3,9.4,5.3,0,Inf
2.1,2.4,2.2,16.3,-1.98766987008391
5.3,3.3,4.5,15.3,-1.25385288685939
10.6,5.7,12.5,33.5,-1.24978234035723
47.6,23.6,26.7,5.7,1.74486808602785
7,5.7,9.8,20.1,-0.985816794522765
4.7,14.6,13.8,32.6,-1.08339129465775
1.8,5.2,5.3,13.4,-1.1842677332466
1.5,0.5,0,79.5,-4.78122212976845
3.5,3.3,5.8,15.3,-1.29276830310907
10.3,7.1,6.2,54.6,-1.9373994593874
2.1,12.3,2.7,22.1,-1.3551114336832
51.4,59.9,47.2,8.6,1.81538010138976
1.8,0,5.3,21.1,-2.18779054510286
6.5,4.7,8,25.9,-1.39794497833987
2.1,2.4,2.7,22,-2.21557371600442
2.6,0,1.8,18.2,-2.51842934182664
0.6,2.8,7.1,17.2,-1.59214641532404
139.2,99.9,147.5,41.2,1.14034002175064
1.5,1.9,0.4,16.3,-2.55477632974849
8.2,2.8,0.4,16.3,-1.45616404108038
9.1,14.6,13.4,0,Inf
1.2,3.3,1.3,21.1,-2.39002741159776
0.9,4.2,3.1,35.4,-2.56118995453763
11.7,27.3,9.4,0,Inf
2.1,4.2,3.6,12.4,-1.32377400413856
0.6,4.2,4,17.2,-1.76876995100336
0.3,3.8,0,22,-2.77866776831616
14.7,9.4,15.6,0.1,4.88532399201908
7.3,4.7,11.1,33.5,-1.47032510997138
6.2,16,14.3,0,Inf
